181,195,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,195,54,1
181,0,54,1
181,168,54,1
181,195,54,1
181,195,54,1
181,195,54,1
181,0,54,1
181,197,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,169,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,170,54,1
181,0,54,1
181,0,54,1
181,167,53,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,194,54,1
181,0,54,1
181,195,54,1
181,0,54,1
182,0,54,1
181,0,54,1
181,195,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,54,1
182,0,54,1
181,0,54,1
181,169,54,1
181,0,54,1
181,195,54,1
181,194,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,53,1
181,196,53,1
181,0,54,1
181,0,54,1
181,0,54,1
181,169,54,1
181,0,54,1
181,0,54,1
181,0,54,1
181,0,53,1
181,0,53,1
181,0,54,1
181,0,54,1
182,0,54,1
184,0,54,1
186,0,55,1
187,0,54,1
187,0,54,1
187,0,51,1
188,0,49,1
189,0,49,1
189,0,48,1
188,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
187,0,49,1
186,0,49,1
186,0,49,1
186,0,49,1
187,0,49,1
0,0,51,1
0,0,51,1
189,0,51,1
191,0,51,1
190,20,51,1
183,0,50,1
183,56,51,1
183,0,50,1
188,56,58,1
190,55,58,1
194,57,58,1
197,68,57,1
201,70,57,1
205,71,61,1
208,104,137,1
212,138,136,1
217,138,136,1
220,137,136,1
222,137,136,1
223,136,137,1
217,111,137,1
0,136,142,1
218,135,139,1
217,135,139,1
218,134,139,1
218,133,139,1
219,132,140,1
219,132,140,1
216,134,130,1
217,134,131,1
217,134,132,1
216,133,132,1
215,135,132,1
214,131,131,1
213,131,131,1
213,129,131,1
215,128,125,1
214,127,125,1
216,126,125,1
220,126,125,1
225,125,125,1
231,127,125,1
234,123,133,1
234,126,133,1
235,124,133,1
235,124,133,1
239,125,133,1
