 
90,8,8,0,3,1
80,17,17,10,7,1
70,25,25,18,12,1
60,32,32,26,18,1
50,38,38,33,29,1
40,43,43,38,41,1
30,47,47,43,38,1
20,51,51,47,36,1
10,54,54,51,34,1
0,56,56,54,33,1
0,58,58,57,33,1
10,60,60,59,32,1
20,61,61,60,31,1
30,62,62,61,30,1
40,63,63,62,30,1
50,63,63,63,29,1
60,64,64,63,29,1
70,64,64,61,36,1
80,64,64,61,38,1
90,64,64,61,49,1
90,64,64,61,50,1
80,65,65,61,50,1
70,65,65,61,49,1
60,65,65,61,48,1
50,65,65,61,51,1
40,65,65,61,47,1
30,65,65,62,43,1
20,65,65,62,40,1
10,65,65,63,38,1
0,65,65,64,36,1
0,65,65,64,36,1
10,66,66,65,35,1
20,66,66,65,34,1
30,66,66,65,34,1
40,66,66,66,33,1
50,66,66,66,32,1
60,66,66,65,33,1
70,65,65,64,36,1
80,65,65,64,41,1
90,65,65,63,42,1
90,65,65,63,43,1
80,65,65,63,43,1
70,65,65,63,42,1
60,65,65,62,43,1
50,65,65,62,44,1
40,65,65,62,42,1
30,65,65,60,40,1
20,65,65,61,38,1
10,65,65,62,36,1
0,65,65,63,36,1
0,65,65,64,35,1
10,66,66,65,34,1
20,66,66,65,34,1
30,66,66,65,33,1
40,66,66,66,33,1
50,66,66,65,33,1
60,66,66,65,33,1
70,65,65,63,45,1
80,65,65,63,66,1
90,65,65,62,65,1
90,65,65,62,64,1
80,65,65,62,63,1
70,65,65,62,63,1
60,65,65,61,70,1
50,65,65,61,65,1
40,65,65,61,59,1
30,65,65,62,54,1
20,65,65,62,49,1
10,65,65,63,57,1
0,65,65,64,53,1
0,65,65,64,49,1
10,66,66,65,46,1
20,66,66,65,44,1
30,66,66,63,53,1
40,66,66,64,50,1
50,66,66,64,67,1
60,66,66,64,61,1
70,65,65,63,67,1
80,65,65,63,66,1
90,65,65,60,65,1
90,65,65,60,64,1
80,65,65,61,64,1
70,65,65,61,66,1
60,65,65,59,62,1
50,65,65,60,60,1
40,65,65,60,57,1
30,65,65,60,53,1
20,65,65,61,49,1
10,65,65,61,46,1
0,65,65,62,43,1
0,65,65,63,42,1
10,66,66,64,41,1
20,66,66,64,40,1
30,66,66,65,54,1
40,66,66,65,50,1
50,66,66,65,46,1
60,66,66,65,49,1
70,65,65,63,49,1
80,65,65,63,51,1
90,65,65,61,53,1
90,65,65,61,55,1
80,65,65,62,56,1
70,65,65,57,60,1
60,65,65,58,58,1
50,65,65,58,66,1
40,65,65,59,91,1
30,65,65,60,80,1
20,65,65,61,70,1
10,65,65,62,63,1
0,65,65,63,57,1
0,65,65,64,54,1
10,66,66,64,58,1
20,66,66,65,62,1
30,66,66,65,56,1
40,66,66,62,52,1
50,66,66,63,63,1
60,66,66,63,57,1
70,65,65,63,55,1
80,65,65,61,53,1
90,65,65,61,57,1
90,65,65,61,55,1
80,65,65,61,56,1
70,66,66,62,57,1
60,65,65,62,60,1
50,65,65,62,55,1
40,65,65,61,51,1
30,65,65,62,48,1
20,65,65,63,45,1
10,65,65,63,43,1
0,65,65,64,41,1
0,65,65,65,57,1
10,66,66,65,60,1
20,66,66,66,55,1
30,66,66,66,51,1
40,66,66,66,48,1
50,66,66,65,45,1
60,66,66,64,43,1
70,66,66,64,56,1
80,65,65,63,56,1
90,65,65,63,57,1
90,65,65,62,55,1
80,65,65,62,55,1
70,65,65,61,53,1
60,65,65,61,70,1
50,65,65,61,73,1
40,65,65,61,66,1
30,65,65,62,59,1
20,65,65,61,54,1
10,65,65,59,50,1
0,65,65,61,47,1
0,65,65,62,59,1
10,66,66,63,55,1
20,66,66,64,51,1
30,66,66,64,47,1
40,66,66,65,44,1
50,66,66,64,42,1
60,66,66,64,41,1
70,65,65,64,43,1
80,65,65,63,44,1
90,65,65,61,52,1
90,65,65,61,54,1
80,65,65,62,53,1
70,65,65,62,52,1
60,65,65,62,50,1
50,65,65,62,74,1
40,65,65,62,67,1
30,65,65,61,60,1
20,65,65,62,55,1
10,65,65,60,50,1
0,65,65,61,47,1
0,65,65,62,44,1
10,66,66,63,42,1
20,66,66,63,41,1
30,66,66,64,39,1
40,66,66,65,38,1
50,66,66,64,46,1
60,66,66,63,51,1
70,65,65,62,51,1
80,65,65,62,61,1
90,65,65,62,60,1
90,65,65,62,58,1
80,65,65,62,58,1
70,65,65,62,59,1
60,65,65,62,76,1
50,65,65,62,74,1
40,65,65,62,73,1
30,65,65,62,65,1
20,65,65,63,58,1
10,65,65,63,53,1
0,65,65,64,49,1
0,65,65,64,47,1
10,66,66,65,45,1
20,66,66,65,43,1
30,66,66,65,41,1
40,63,63,66,39,1
50,63,63,65,37,1
60,64,64,65,37,1
70,64,64,63,38,1
80,64,64,62,42,1
90,64,64,62,45,1
90,64,64,62,48,1
80,64,64,62,50,1
70,65,65,62,51,1
60,65,65,61,61,1
50,65,65,61,68,1
40,65,65,61,62,1
30,65,65,61,56,1
20,65,65,62,51,1
10,65,65,63,47,1
0,65,65,64,44,1
0,65,65,64,42,1
10,66,66,65,41,1
20,66,66,65,40,1
30,66,66,65,38,1
40,66,66,66,37,1
50,66,66,65,36,1
60,66,66,65,42,1
70,65,65,63,46,1
80,65,65,63,48,1
90,65,65,62,50,1
90,65,65,62,50,1
80,65,65,62,51,1
70,65,65,62,53,1
60,65,65,62,53,1
50,65,65,62,65,1
40,65,65,62,59,1
30,65,65,60,55,1
20,65,65,61,50,1
10,65,65,62,48,1
0,65,65,61,46,1
0,65,65,62,45,1
10,66,66,63,45,1
20,66,66,64,50,1
30,66,66,64,47,1
40,66,66,65,47,1
50,66,66,64,48,1
60,66,66,64,49,1
70,65,65,63,54,1
80,65,65,63,63,1
90,65,65,62,62,1
90,65,65,62,61,1
80,65,65,60,58,1
70,65,65,58,56,1
60,65,65,59,54,1
50,65,65,60,69,1
40,65,65,60,75,1
30,65,65,60,70,1
20,65,65,62,69,1
10,65,65,61,68,1
0,65,65,62,68,1
0,65,65,63,68,1
10,66,66,64,67,1
20,66,66,64,66,1
30,66,66,62,66,1
40,66,66,63,62,1
50,66,66,63,65,1
60,66,66,63,63,1
70,65,65,61,63,1
80,65,65,61,63,1
90,65,65,59,66,1
90,65,65,60,64,1
80,65,65,60,63,1
70,65,65,60,63,1
60,65,65,61,62,1
50,65,65,61,59,1
40,65,65,61,68,1
30,65,65,61,62,1
20,65,65,62,69,1
10,65,65,60,62,1
0,65,65,61,56,1
0,65,65,62,53,1
10,66,66,63,49,1
20,66,66,64,46,1
30,66,66,64,43,1
40,66,66,65,40,1
50,66,66,65,38,1
60,66,66,65,37,1
70,65,65,64,42,1
80,65,65,63,46,1
90,65,65,61,49,1
90,65,65,61,51,1
80,65,65,61,53,1
70,65,65,61,51,1
60,65,65,61,54,1
50,65,65,61,55,1
40,65,65,61,51,1
30,65,65,62,47,1
20,65,65,62,44,1
10,65,65,63,41,1
0,65,65,63,39,1
0,65,65,64,37,1
10,66,66,65,36,1
20,66,66,64,35,1
30,66,66,64,34,1
40,66,66,65,34,1
50,66,66,65,33,1
60,66,66,65,33,1
70,65,65,64,32,1
80,65,65,63,40,1
90,65,65,63,44,1
90,65,65,63,47,1
80,65,65,63,56,1
70,65,65,62,57,1
60,65,65,62,58,1
50,65,65,62,68,1
40,65,65,62,66,1
30,65,65,62,59,1
20,65,65,62,53,1
