Compass Angle: 125.0, Distance 1: 130.0, Distance 2: 50.0
Compass Angle: 123.0, Distance 1: 156.0, Distance 2: 50.0
Compass Angle: 118.0, Distance 1: 133.0, Distance 2: 50.0
Compass Angle: 120.0, Distance 1: 111.0, Distance 2: 50.0
Compass Angle: 115.0, Distance 1: 137.0, Distance 2: 50.0
Compass Angle: 112.0, Distance 1: 148.0, Distance 2: 50.0
Compass Angle: 111.0, Distance 1: 139.0, Distance 2: 50.0
Compass Angle: 113.0, Distance 1: 130.0, Distance 2: 50.0
Compass Angle: 102.0, Distance 1: 127.0, Distance 2: 50.0
Compass Angle: 103.0, Distance 1: 121.0, Distance 2: 50.0
Compass Angle: 104.0, Distance 1: 124.0, Distance 2: 50.0
Compass Angle: 94.0, Distance 1: 128.0, Distance 2: 50.0
Compass Angle: 93.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 98.0, Distance 1: 130.0, Distance 2: 50.0
Compass Angle: 90.0, Distance 1: 115.0, Distance 2: 50.0
Compass Angle: 88.0, Distance 1: 123.0, Distance 2: 50.0
Compass Angle: 84.0, Distance 1: 144.0, Distance 2: 50.0
Compass Angle: 84.0, Distance 1: 120.0, Distance 2: 50.0
Compass Angle: 77.0, Distance 1: 119.0, Distance 2: 50.0
Compass Angle: 69.0, Distance 1: 127.0, Distance 2: 50.0
Compass Angle: 73.0, Distance 1: 115.0, Distance 2: 50.0
Compass Angle: 63.0, Distance 1: 118.0, Distance 2: 50.0
Compass Angle: 59.0, Distance 1: 110.0, Distance 2: 50.0
Compass Angle: 51.0, Distance 1: 114.0, Distance 2: 50.0
Compass Angle: 51.0, Distance 1: 127.0, Distance 2: 50.0
Compass Angle: 45.0, Distance 1: 126.0, Distance 2: 50.0
Compass Angle: 43.0, Distance 1: 123.0, Distance 2: 50.0
Compass Angle: 41.0, Distance 1: 131.0, Distance 2: 50.0
Compass Angle: 40.0, Distance 1: 135.0, Distance 2: 50.0
Compass Angle: 38.0, Distance 1: 128.0, Distance 2: 50.0
Compass Angle: 36.0, Distance 1: 134.0, Distance 2: 50.0
Compass Angle: 33.0, Distance 1: 131.0, Distance 2: 50.0
Compass Angle: 32.0, Distance 1: 130.0, Distance 2: 50.0
Compass Angle: 30.0, Distance 1: 134.0, Distance 2: 50.0
Compass Angle: 27.0, Distance 1: 123.0, Distance 2: 50.0
Compass Angle: 23.0, Distance 1: 111.0, Distance 2: 50.0
Compass Angle: 20.0, Distance 1: 132.0, Distance 2: 50.0
Compass Angle: 19.0, Distance 1: 121.0, Distance 2: 50.0
Compass Angle: 18.0, Distance 1: 115.0, Distance 2: 50.0
Compass Angle: 17.0, Distance 1: 120.0, Distance 2: 50.0
Compass Angle: 14.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 12.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 6.0, Distance 1: 100.0, Distance 2: 50.0
Compass Angle: 7.0, Distance 1: 104.0, Distance 2: 50.0
Compass Angle: 8.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 6.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 0.0, Distance 1: 104.0, Distance 2: 50.0
Compass Angle: 359.0, Distance 1: 101.0, Distance 2: 50.0
Compass Angle: 348.0, Distance 1: 102.0, Distance 2: 50.0
Compass Angle: 347.0, Distance 1: 102.0, Distance 2: 50.0
Compass Angle: 342.0, Distance 1: 101.0, Distance 2: 50.0
Compass Angle: 339.0, Distance 1: 103.0, Distance 2: 50.0
Compass Angle: 335.0, Distance 1: 102.0, Distance 2: 50.0
Compass Angle: 343.0, Distance 1: 104.0, Distance 2: 50.0
Compass Angle: 335.0, Distance 1: 93.0, Distance 2: 50.0
Compass Angle: 329.0, Distance 1: 101.0, Distance 2: 50.0
Compass Angle: 328.0, Distance 1: 95.0, Distance 2: 50.0
Compass Angle: 321.0, Distance 1: 100.0, Distance 2: 50.0
Compass Angle: 323.0, Distance 1: 104.0, Distance 2: 50.0
Compass Angle: 323.0, Distance 1: 94.0, Distance 2: 50.0
Compass Angle: 317.0, Distance 1: 83.0, Distance 2: 50.0
Compass Angle: 318.0, Distance 1: 87.0, Distance 2: 50.0
